date,year,gamepk,type,game_type,temp,condition,wind,venue,home_team,away_team,batter,batter_name,stand,pitcher,pitcher_name,throws,events,description,inning,topbot,abnum,pitchnum,pitch_balls,pitch_strikes,pitch_outs,pitch_call,pitch_type,pitch_startSpeed,pitch_endSpeed,pitch_sz_top,pitch_sz_bot,pitch_x0,pitch_y0,pitch_z0,pitch_extension,pitch_vx0,pitch_vy0,pitch_vz0,pitch_ax,pitch_ay,pitch_az,pitch_pfx_x,pitch_pfx_z,pitch_px,pitch_pz,pitch_x,pitch_y,pitch_breakAngle,pitch_breakLength,pitch_break_y,pitch_spinrate,pitch_breakDirection,pitch_zone,pitch_plateTime,bip_EV,bip_VA,bip_distance,bip_type,bip_hardness,bip_location,bip_hc_x,bip_hc_y,MLB_playID,id
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,501981,Khris Davis,R,592662,Robbie Ray,L,Strikeout,strikeout,2,top,9,3,1,1,2,Foul,FF,94.7,85.3,3.32,1.51,2.5,50,5.86,6.62,-7.66,-137.44,-7.03,10.51,34.86,-12.2,5.58,10.6,0.39,2.41,102.3,173.62,31.2,3.6,24,2226,144,6,0.4,,,,,,,,,0c27cf7f-b2ce-497a-8eb9-fc7cc06f762d,632607-501981-592662-2-9-3
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,501981,Khris Davis,R,592662,Robbie Ray,L,Strikeout,strikeout,2,top,9,4,1,2,2,Foul,FF,94.8,85.6,3.32,1.51,2.41,50,5.94,6.5,-7.38,-137.67,-6.75,11.13,33.81,-8.89,5.86,12.27,0.44,2.84,100.21,162.16,42,3.6,24,2325,151,3,0.4,,,,,,,,,0c20ba93-e9c6-4c00-b01d-fd7eb15ab484,632607-501981-592662-2-9-4
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,501981,Khris Davis,R,592662,Robbie Ray,L,Strikeout,strikeout,2,top,9,5,1,2,2,Ball,SL,89.1,82.3,3.47,1.6,2.37,50,5.88,6.4,-8.89,-129.47,-5.34,-1.55,26,-25.33,-0.91,4.02,-1.22,1.87,163.36,188.38,7.2,6,24,2188,147,13,0.42,,,,,,,,,6ee26697-8749-4a2d-a1ef-649c93cf613f,632607-501981-592662-2-9-5
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,501981,Khris Davis,R,592662,Robbie Ray,L,Strikeout,strikeout,2,top,9,6,2,2,2,Foul Tip,FF,93.8,85.5,3.32,1.51,2.08,50,6.05,6.43,-8.64,-136.25,-5.73,7.17,30.37,-10.41,3.82,11.59,-0.64,3.2,141.39,152.37,24,2.4,24,2176,152,1,0.4,,,,,,,,,316d1f67-bd17-4bc9-bd8a-88aa23f02a73,632607-501981-592662-2-9-6
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,666182,Bo Bichette,R,608344,Cole Irvin,L,Single,single,2,bottom,10,1,0,0,0,Ball,SI,88.8,81.2,3.79,1.77,1.33,50,6.26,5.87,-2.31,-129.23,-6.75,16.02,28.22,-19.47,9.52,7.55,1.66,2.11,53.81,181.84,37.2,6,24,1841,142,14,0.42,,,,,,,,,30e141a5-1fe0-440e-bef4-2e0dbfac08ee,632607-666182-608344-2-10-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,666182,Bo Bichette,R,608344,Cole Irvin,L,Single,single,2,bottom,10,2,1,0,0,"In play, no out",SI,89.9,82,3.37,1.53,1.31,50,6.23,6.09,-4.99,-130.76,-5.66,17.03,28.99,-20.39,9.89,6.84,0.66,2.49,92.01,171.47,36,6,24,1885,144,6,0.42,93.6,17,317,line_drive,medium,8,108.59,73.2,adb36509-7a5e-4aba-95d1-002f573fe86a,632607-666182-608344-2-10-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,606192,Teoscar Hernandez,R,608344,Cole Irvin,L,Strikeout,strikeout,2,bottom,11,1,0,0,0,Called Strike,FF,87.6,79.2,3.47,1.68,1.51,50,6.03,6.23,-4.87,-127.24,-6.92,12.54,29.32,-14.42,7.75,10.97,0.56,2.1,95.58,181.95,36,4.8,24,2011,148,9,0.43,,,,,,,,,3667e544-657f-4de0-aa51-4a035c347c63,632607-606192-608344-2-11-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,606192,Teoscar Hernandez,R,608344,Cole Irvin,L,Strikeout,strikeout,2,bottom,11,2,0,1,0,Foul,FF,89.2,81,3.47,1.59,1.21,50,6.22,6.16,-5.03,-129.67,-6.14,12.3,29.07,-13.49,7.28,11.05,0.18,2.78,110.02,163.8,37.2,4.8,24,2067,147,5,0.42,,,,,,,,,9a62d1a8-9c92-4d0a-8966-6d5577e42b12,632607-606192-608344-2-11-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,606192,Teoscar Hernandez,R,608344,Cole Irvin,L,Strikeout,strikeout,2,bottom,11,3,0,2,0,Swinging Strike,SL,82.5,75.6,3.47,1.59,1.49,50.01,6.07,6.07,-3.51,-120.08,-4.8,-1.32,25.1,-28.85,-0.91,2.3,-0.12,1.45,121.47,199.6,3.6,8.4,24,1928,291,13,0.46,,,,,,,,,bde7590c-ae4c-4860-8f52-2da2a5acab13,632607-606192-608344-2-11-3
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,672386,Alejandro Kirk,R,608344,Cole Irvin,L,Single,single,2,bottom,12,1,0,0,0,Ball,CH,84.5,77.4,2.98,1.47,1.47,50.01,6.06,6.17,-3.76,-122.79,-7.09,12.86,25.09,-21.8,8.45,6.82,1.02,1.27,78.24,204.4,27.6,7.2,24,1626,131,14,0.45,,,,,,,,,c87e0575-9c1d-48b5-b1fb-ac30fc6b7384,632607-672386-608344-2-12-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,672386,Alejandro Kirk,R,608344,Cole Irvin,L,Single,single,2,bottom,12,2,1,0,1,Called Strike,FF,89.9,81.7,3.22,1.49,1.36,50,6.14,6.2,-4.78,-130.64,-6.93,10.71,29.24,-11.85,6.24,11.84,0.31,2.55,105.2,169.93,36,3.6,24,1990,148,6,0.42,,,,,,,,,8bece4ff-a87b-4394-97bd-4571619f1965,632607-672386-608344-2-12-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,672386,Alejandro Kirk,R,608344,Cole Irvin,L,Single,single,2,bottom,12,3,1,1,1,"In play, no out",CH,83.4,76.3,3.26,1.48,1.4,50,6.14,6.2,-4.97,-121.23,-6.12,12.95,24.93,-22.84,8.75,6.31,0.45,1.58,99.83,196.25,26.4,7.2,24,1597,132,9,0.45,87.3,18,246,line_drive,medium,7,70.95,94.1,3c1054f6-edfa-4b98-87e8-c94b4096d7eb,632607-672386-608344-2-12-3
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,666971,Lourdes Gurriel Jr.,R,608344,Cole Irvin,L,Triple,triple,2,bottom,13,1,0,0,0,Ball,SI,90.2,81.8,3.51,1.66,1.37,50.01,6.11,6.23,-4.87,-130.98,-8.26,18.13,30.87,-16.98,10.57,8.86,0.84,1.61,84.84,195.23,42,6,24,1970,143,14,0.42,,,,,,,,,1d1d8a43-c422-4bb0-8118-ce8e76513aed,632607-666971-608344-2-13-1
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,666971,Lourdes Gurriel Jr.,R,608344,Cole Irvin,L,Triple,triple,2,bottom,13,2,1,0,1,Called Strike,FF,89.9,81.4,3.43,1.71,1.18,50,6.16,6.21,-7.46,-130.54,-7.35,9.8,30.34,-11.77,5.74,11.96,-0.99,2.4,154.63,174.09,31.2,3.6,24,2023,148,13,0.42,,,,,,,,,9944a999-6bc2-404c-8c26-ab45b0ebe39d,632607-666971-608344-2-13-2
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,666971,Lourdes Gurriel Jr.,R,608344,Cole Irvin,L,Triple,triple,2,bottom,13,3,1,1,1,Foul,SI,89.2,81.2,3.55,1.63,1.43,50,6.09,6.28,-6.63,-129.48,-7.93,17.08,28.4,-15.15,10.11,10.08,0.14,1.82,111.73,189.65,43.2,6,24,1970,141,8,0.42,,,,,,,,,44624bba-6994-4251-9531-717b888e1641,632607-666971-608344-2-13-3
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,666971,Lourdes Gurriel Jr.,R,608344,Cole Irvin,L,Triple,triple,2,bottom,13,4,1,2,1,Foul,SL,83.1,75.7,3.55,1.63,1.43,50,6.24,6.05,-3.48,-120.97,-1.06,-0.87,25.95,-32.3,-0.59,-0.08,-0.11,2.94,121.15,159.36,2.4,9.6,24,2040,297,2,0.45,,,,,,,,,40ab8440-65d8-43a8-ab59-67a3c7feaf06,632607-666971-608344-2-13-4
2021-09-05,2021,632607,P,R,76,Partly Cloudy,"10 mph, L To R",14,TOR,OAK,666971,Lourdes Gurriel Jr.,R,608344,Cole Irvin,L,Triple,triple,2,bottom,13,5,1,2,1,"In play, run(s)",FF,90.6,82.2,3.55,1.63,1.12,50,6.17,6.23,-5.65,-131.59,-6.72,13.85,30.01,-12.52,7.96,11.3,-0.03,2.64,118.24,167.59,42,4.8,24,2005,142,5,0.42,98.2,27,343,fly_ball,medium,9,215.25,92.66,348d9602-d5b2-4bda-a3e8-6363b16fad8a,632607-666971-608344-2-13-5
